uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
Q05397,L1,90,4500,激酶,A 实验结构,,
Q13188,L1,50,2500,激酶,A 实验结构,,
Q13627,L1,111,5550,激酶,A 实验结构,,
Q92918,L1,161,8050,激酶,A 实验结构,,
Q9NWZ3,L1,91,4550,激酶,A 实验结构,,
P00734,L1,149,7450,蛋白酶,A 实验结构,,
P34913,L1,124,6200,蛋白酶,A 实验结构,,
P34914,L1,99,4950,蛋白酶,A 实验结构,,
P53634,L1,58,2900,蛋白酶,A 实验结构,,
P56817,L1,260,13000,蛋白酶,A 实验结构,,
Q9Y5Z0,L1,227,11350,蛋白酶,A 实验结构,,
O15379,L1,141,7050,表观,A 实验结构,,
O60341,L1,104,5200,表观,A 实验结构,,
O60885,L1,58,2900,表观,A 实验结构,,
Q13547,L1,361,18050,表观,A 实验结构,,
Q92769,L1,127,6350,表观,A 实验结构,,
Q9BY41,L1,104,5200,表观,A 实验结构,,
Q9UBN7,L1,426,21300,表观,A 实验结构,,
O43613,L2,99,4950,GPCR,A 实验结构,,
O43614,L2,145,7250,GPCR,A 实验结构,,
P08173,L2,78,3900,GPCR,A 实验结构,,
P08908,L2,207,10350,GPCR,A 实验结构,,
P0DMS8,L2,50,2500,GPCR,A 实验结构,,
P18825,L2,125,6250,GPCR,A 实验结构,,
P21554,L2,53,2650,GPCR,A 实验结构,,
P28335,L2,296,14800,GPCR,A 实验结构,,
P29274,L2,777,38850,GPCR,A 实验结构,,
P29275,L2,358,17900,GPCR,A 实验结构,,
P30542,L2,114,5700,GPCR,A 实验结构,,
P31391,L2,100,5000,GPCR,A 实验结构,,
P32245,L2,208,10400,GPCR,A 实验结构,,
P34972,L2,63,3150,GPCR,A 实验结构,,
P35372,L2,197,9850,GPCR,A 实验结构,,
P41143,L2,92,4600,GPCR,A 实验结构,,
P41145,L2,526,26300,GPCR,A 实验结构,,
P41146,L2,54,2700,GPCR,A 实验结构,,
P50406,L2,56,2800,GPCR,A 实验结构,,
P61073,L2,52,2600,GPCR,A 实验结构,,
Q14833,L2,171,8550,GPCR,A 实验结构,,
Q92633,L2,560,28000,GPCR,A 实验结构,,
Q9H3N8,L2,55,2750,GPCR,A 实验结构,,
Q14145,L2,124,6200,其他/未分类,A 实验结构,,
Q16552,L2,262,13100,其他/未分类,A 实验结构,,
Q86WV6,L2,170,8500,其他/未分类,A 实验结构,,
Q8R4B8,L2,58,2900,其他/未分类,A 实验结构,,
Q99814,L2,114,5700,其他/未分类,A 实验结构,,
O14684,L2,125,6250,其他酶,A 实验结构,,
O43570,L2,239,11950,其他酶,A 实验结构,,
O60502,L2,301,15050,其他酶,A 实验结构,,
O95497,L2,118,5900,其他酶,A 实验结构,,
P01116,L2,3262,142379,其他酶,A 实验结构,,
P04293,L2,355,17750,其他酶,A 实验结构,,
P06276,L2,139,6950,其他酶,A 实验结构,,
P15428,L2,361,18050,其他酶,A 实验结构,,
P22413,L2,524,26200,其他酶,A 实验结构,,
P27338,L2,124,6200,其他酶,A 实验结构,,
P42330,L2,77,3850,其他酶,A 实验结构,,
P43490,L2,482,24100,其他酶,A 实验结构,,
P47205,L2,147,7350,其他酶,A 实验结构,,
P50053,L2,944,47200,其他酶,A 实验结构,,
P53396,L2,59,2950,其他酶,A 实验结构,,
Q06124,L2,487,24350,其他酶,A 实验结构,,
Q13489,L2,211,10550,其他酶,C 无置信度记录,,
Q15125,L2,177,8850,其他酶,A 实验结构,,
Q16769,L2,67,3350,其他酶,A 实验结构,,
Q32ZE1,L2,150,7500,其他酶,A 实验结构,,
Q6ZQW0,L2,54,2700,其他酶,C 无置信度记录,,
Q72547,L2,64,3200,其他酶,A 实验结构,,
Q86W56,L2,341,17050,其他酶,A 实验结构,,
Q8N884,L2,308,15400,其他酶,A 实验结构,,
Q8NEB9,L2,57,2850,其他酶,A 实验结构,,
Q9UGN5,L2,164,8200,其他酶,A 实验结构,,
Q9Y251,L2,53,2650,其他酶,A 实验结构,,
P03372,L2,218,10900,核受体,A 实验结构,,
P04150,L2,286,14300,核受体,A 实验结构,,
P10275,L2,145,7250,核受体,A 实验结构,,
P11474,L2,199,9950,核受体,A 实验结构,,
Q96RI1,L2,61,3050,核受体,A 实验结构,,
O14757,L2,190,9500,激酶,A 实验结构,,
O75116,L2,301,15050,激酶,A 实验结构,,
O75385,L2,408,20400,激酶,A 实验结构,,
O95819,L2,66,3300,激酶,A 实验结构,,
O96017,L2,65,3250,激酶,A 实验结构,,
P00519,L2,294,14700,激酶,A 实验结构,,
P00533,L2,2047,102350,激酶,A 实验结构,,
P04049,L2,656,32800,激酶,A 实验结构,,
P04626,L2,1004,50200,激酶,A 实验结构,,
P06239,L2,715,35750,激酶,A 实验结构,,
P06241,L2,54,2700,激酶,A 实验结构,,
P07333,L2,773,38650,激酶,A 实验结构,,
P07949,L2,263,13150,激酶,A 实验结构,,
P08069,L2,359,17950,激酶,A 实验结构,,
P08581,L2,831,41550,激酶,A 实验结构,,
P08922,L2,51,2550,激酶,A 实验结构,,
P09619,L2,429,21450,激酶,C 无置信度记录,,
P10398,L2,103,5150,激酶,A 实验结构,,
P11309,L2,66,3300,激酶,A 实验结构,,
P11362,L2,501,25050,激酶,A 实验结构,,
P11802,L2,1402,70100,激酶,A 实验结构,,
P21802,L2,484,24200,激酶,A 实验结构,,
P22455,L2,116,5800,激酶,A 实验结构,,
P22607,L2,384,19200,激酶,A 实验结构,,
P23458,L2,622,31100,激酶,A 实验结构,,
P24941,L2,1629,81450,激酶,A 实验结构,,
P28482,L2,665,33250,激酶,A 实验结构,,
P29597,L2,1372,68600,激酶,A 实验结构,,
P30530,L2,928,46400,激酶,A 实验结构,,
P31749,L2,213,10650,激酶,A 实验结构,,
P31751,L2,118,5900,激酶,A 实验结构,,
P35916,L2,71,3550,激酶,C 无置信度记录,,
P35968,L2,927,46350,激酶,A 实验结构,,
P36888,L2,506,25300,激酶,A 实验结构,,
P41240,L2,174,8700,激酶,A 实验结构,,
P42345,L2,80,4000,激酶,A 实验结构,,
P43405,L2,104,5200,激酶,A 实验结构,,
P48729,L2,134,6700,激酶,A 实验结构,,
P48730,L2,144,7200,激酶,A 实验结构,,
P49759,L2,134,6700,激酶,A 实验结构,,
P49760,L2,257,12850,激酶,A 实验结构,,
P49841,L2,1407,70350,激酶,A 实验结构,,
P50750,L2,192,9600,激酶,A 实验结构,,
P53350,L2,107,5350,激酶,A 实验结构,,
P53667,L2,62,3100,激酶,A 实验结构,,
P53671,L2,66,3300,激酶,A 实验结构,,
P53779,L2,65,3250,激酶,A 实验结构,,
P78527,L2,632,31600,激酶,A 实验结构,,
P80192,L2,58,2900,激酶,A 实验结构,,
Q00534,L2,1091,54550,激酶,A 实验结构,,
Q06187,L2,977,48850,激酶,A 实验结构,,
Q13315,L2,216,10800,激酶,A 实验结构,,
Q13464,L2,183,9150,激酶,A 实验结构,,
Q13546,L2,588,29400,激酶,A 实验结构,,
Q15119,L2,112,5600,激酶,A 实验结构,,
Q16288,L2,166,8300,激酶,A 实验结构,,
Q16584,L2,93,4650,激酶,C 无置信度记录,,
Q16620,L2,188,9400,激酶,A 实验结构,,
Q5S007,L2,760,38000,激酶,A 实验结构,,
Q8IVH8,L2,332,16600,激酶,A 实验结构,,
Q99640,L2,286,14300,激酶,A 实验结构,,
Q99683,L2,76,3800,激酶,A 实验结构,,
Q9HAZ1,L2,135,6750,激酶,A 实验结构,,
Q9HBH9,L2,104,5200,激酶,A 实验结构,,
Q9NSY1,L2,68,3400,激酶,A 实验结构,,
Q9NWZ3,L2,1458,72900,激酶,A 实验结构,,
Q9NYV4,L2,282,14100,激酶,A 实验结构,,
Q9P2K8,L2,86,4300,激酶,A 实验结构,,
P10415,L2,1007,50350,离子通道,A 实验结构,,
P47869,L2,184,9200,离子通道,C 无置信度记录,,
P62813,L2,86,4300,离子通道,C 无置信度记录,,
Q07817,L2,377,18850,离子通道,A 实验结构,,
Q15858,L2,660,33000,离子通道,A 实验结构,,
Q9Y5Y9,L2,632,31600,离子通道,A 实验结构,,
O75173,L2,83,4150,蛋白酶,A 实验结构,,
P00734,L2,72,3600,蛋白酶,A 实验结构,,
P00742,L2,66,3300,蛋白酶,A 实验结构,,
P00746,L2,364,18200,蛋白酶,A 实验结构,,
P00751,L2,146,7300,蛋白酶,A 实验结构,,
P03951,L2,101,5050,蛋白酶,A 实验结构,,
P03952,L2,130,6500,蛋白酶,A 实验结构,,
P07711,L2,113,5650,蛋白酶,A 实验结构,,
P14756,L2,71,3550,蛋白酶,A 实验结构,,
P20618,L2,73,3650,蛋白酶,A 实验结构,,
P23946,L2,71,3550,蛋白酶,A 实验结构,,
P27487,L2,116,5800,蛋白酶,A 实验结构,,
P28074,L2,325,16250,蛋白酶,A 实验结构,,
P34913,L2,62,3100,蛋白酶,A 实验结构,,
P34914,L2,198,9900,蛋白酶,A 实验结构,,
P39900,L2,83,4150,蛋白酶,A 实验结构,,
P53634,L2,415,20750,蛋白酶,A 实验结构,,
P56817,L2,352,17600,蛋白酶,A 实验结构,,
Q04609,L2,101,5050,蛋白酶,A 实验结构,,
Q12884,L2,122,6100,蛋白酶,A 实验结构,,
Q6V1X1,L2,69,3450,蛋白酶,A 实验结构,,
Q86TI2,L2,56,2800,蛋白酶,A 实验结构,,
Q93009,L2,293,14650,蛋白酶,A 实验结构,,
Q9UNA0,L2,80,4000,蛋白酶,A 实验结构,,
Q9Y5Z0,L2,317,15850,蛋白酶,A 实验结构,,
O14744,L2,814,40700,表观,A 实验结构,,
O15379,L2,413,20650,表观,A 实验结构,,
O60341,L2,807,40350,表观,A 实验结构,,
O60885,L2,576,28800,表观,A 实验结构,,
O96028,L2,77,3850,表观,A 实验结构,,
P51531,L2,92,4600,表观,A 实验结构,,
P51532,L2,82,4100,表观,A 实验结构,,
P61964,L2,51,2550,表观,A 实验结构,,
Q03111,L2,100,5000,表观,A 实验结构,,
Q09472,L2,112,5600,表观,A 实验结构,,
Q13547,L2,1044,52200,表观,A 实验结构,,
Q15910,L2,735,36750,表观,A 实验结构,,
Q92769,L2,338,16900,表观,A 实验结构,,
Q92793,L2,437,21850,表观,A 实验结构,,
Q92993,L2,93,4650,表观,A 实验结构,,
Q9BY41,L2,393,19650,表观,A 实验结构,,
Q9H8M2,L2,391,19550,表观,A 实验结构,,
Q9UBN7,L2,1401,70050,表观,A 实验结构,,
P31645,L2,109,5450,转运体,A 实验结构,,
Q96LB1,L3,69,3450,GPCR,A 实验结构,,
P0DTC1,L3,855,42750,其他/未分类,A 实验结构,,
P28347,L3,238,11900,其他/未分类,A 实验结构,,
Q99594,L3,102,5100,其他/未分类,A 实验结构,,
C7FF05,L3,92,4600,其他酶,B 预测·置信达标,0.861,0.933
O14638,L3,91,4550,其他酶,A 实验结构,,
P01111,L3,469,23450,其他酶,A 实验结构,,
P56528,L3,103,5150,其他酶,B 预测·置信达标,0.921,0.951
Q9NP56,L3,71,3550,其他酶,B 预测·置信达标,0.796,0.977
P05622,L3,378,18900,激酶,C 预测·置信不足,0.676,0.857
Q15878,L3,151,7550,离子通道,A 实验结构,,
P97821,L3,83,4150,蛋白酶,B 预测·置信达标,0.881,0.973
O88634,L4,66,3300,GPCR,B 预测·置信达标,0.788,0.953
P21917,L4,65,3250,GPCR,A 实验结构,,
P25929,L4,102,5100,GPCR,A 实验结构,,
J9SQF3,L4,650,32500,其他/未分类,A 实验结构,,
P09246,L4,80,4000,其他/未分类,C 无置信度记录,,
P17927,L4,69,3450,其他/未分类,C 预测·置信不足,0.806,0.481
O00187,L4,338,16900,其他酶,A 实验结构,,
O00411,L4,227,11350,其他酶,A 实验结构,,
O14874,L4,106,5300,其他酶,A 实验结构,,
O60427,L4,236,11800,其他酶,B 预测·置信达标,0.928,0.915
O75747,L4,229,11450,其他酶,C 预测·置信不足,0.630,0.961
P08546,L4,82,4100,其他酶,C 预测·置信不足,0.425,0.739
P0AES4,L4,133,6650,其他酶,A 实验结构,,
P14060,L4,74,3700,其他酶,B 预测·置信达标,0.936,0.935
P16788,L4,454,22700,其他酶,C 预测·置信不足,0.650,0.925
P52429,L4,81,4050,其他酶,B 预测·置信达标,0.834,0.861
P54278,L4,85,4250,其他酶,A 实验结构,,
Q08828,L4,68,3400,其他酶,B 预测·置信达标,0.769,0.655
Q10469,L4,171,8550,其他酶,A 实验结构,,
Q13724,L4,529,26450,其他酶,B 预测·置信达标,0.898,0.918
Q16739,L4,309,15450,其他酶,B 预测·置信达标,0.907,0.869
Q5JRX3,L4,57,2850,其他酶,A 实验结构,,
Q6SZW1,L4,243,12150,其他酶,A 实验结构,,
Q7Z3E1,L4,574,28700,其他酶,C 预测·置信不足,0.628,0.989
Q7Z5P4,L4,894,44700,其他酶,A 实验结构,,
Q86SK9,L4,54,2700,其他酶,B 预测·置信达标,0.899,0.974
Q8WYB5,L4,192,9600,其他酶,B 预测·置信达标,0.839,0.968
Q92551,L4,192,9600,其他酶,B 预测·置信达标,0.742,0.988
Q96KP4,L4,110,5500,其他酶,A 实验结构,,
Q9NPH5,L4,96,4800,其他酶,B 预测·置信达标,0.842,0.820
Q9NR19,L4,142,7100,其他酶,B 预测·置信达标,0.850,0.904
Q9UBM7,L4,299,14950,其他酶,C 无置信度记录,,
Q9UHH9,L4,91,4550,其他酶,C 无置信度记录,,
Q9UKP4,L4,289,14450,其他酶,C 无置信度记录,,
Q9ULC5,L4,179,8950,其他酶,C 无置信度记录,,
Q9ULV8,L4,569,28450,其他酶,A 实验结构,,
Q9Y2I7,L4,394,19700,其他酶,C 预测·置信不足,0.632,0.912
O14578,L4,152,7600,激酶,B 预测·置信达标,0.927,0.987
P19525,L4,181,9050,激酶,A 实验结构,,
Q13233,L4,58,2900,激酶,B 预测·置信达标,0.853,0.955
Q13535,L4,477,23850,激酶,A 实验结构,,
Q86UE8,L4,68,3400,激酶,A 实验结构,,
Q9H0K1,L4,109,5450,激酶,C 预测·置信不足,0.481,0.977
P22001,L4,351,17550,离子通道,C 预测·置信不足,0.649,0.655
Q8N1C3,L4,201,10050,离子通道,B 预测·置信达标,0.747,0.749
P09871,L4,421,21050,蛋白酶,A 实验结构,,
Q96DB2,L4,71,3550,表观,B 预测·置信达标,0.906,0.808
P11166,L4,69,3450,转运体,A 实验结构,,
P20648,L4,112,5600,转运体,B 预测·置信达标,0.835,0.747
